segment_id,start_pos,end_pos,start_time,end_time,length,net_return,theta_mean,amp_z_mean,sigma_mean,viscosity_mean,sign_global
128,1139,1148,2020-07-29 00:00:00+00:00,2020-08-11 00:00:00+00:00,10,0.06025913016125228,0.010657687289373797,0.6915664036871594,0.021282786266962953,1.1295276723429148,1.0
129,1149,1164,2020-08-12 00:00:00+00:00,2020-09-02 00:00:00+00:00,16,0.2796399710235806,0.03929702967685094,0.8779190210147078,0.023554215696513295,1.7264422194230662,1.0
130,1165,1165,2020-09-03 00:00:00+00:00,2020-09-03 00:00:00+00:00,1,-0.09736501463796854,-0.09705908120507596,2.7861214583557627,0.03494642578655353,0.7229257704307863,-1.0
131,1166,1167,2020-09-04 00:00:00+00:00,2020-09-08 00:00:00+00:00,2,-0.08851076460732665,-0.048386358063214015,1.1815921404793923,0.037080961737502735,1.2936282386768252,-1.0
132,1168,1168,2020-09-09 00:00:00+00:00,2020-09-09 00:00:00+00:00,1,0.0651521098793153,0.06506015811989384,1.627264115590683,0.04003781130700131,0.5296805316362434,1.0
133,1169,1185,2020-09-10 00:00:00+00:00,2020-10-02 00:00:00+00:00,17,0.02694406270316252,0.0013334515705548076,0.6045857213579421,0.039912734261682306,1.1482735469012164,1.0
134,1186,1200,2020-10-05 00:00:00+00:00,2020-10-23 00:00:00+00:00,15,0.03962611774311009,0.011494489888844965,0.5714370854731248,0.025292700936412633,1.5019073171697686,1.0
135,1201,1201,2020-10-26 00:00:00+00:00,2020-10-26 00:00:00+00:00,1,-0.03359646830114249,-0.03358383648945469,1.5870804500885505,0.02116871418110121,0.663844636693599,-1.0
136,1202,1202,2020-10-27 00:00:00+00:00,2020-10-27 00:00:00+00:00,1,0.01925610965756519,0.01925373014616297,0.9014911997812779,0.021360275782309528,0.3643361735211429,1.0
137,1203,1203,2020-10-28 00:00:00+00:00,2020-10-28 00:00:00+00:00,1,-0.05917485990579596,-0.05910593450035133,2.413568375748612,0.02451757172686606,0.7544832441878536,-1.0
138,1204,1204,2020-10-29 00:00:00+00:00,2020-10-29 00:00:00+00:00,1,0.030956415207263888,0.03094653238185811,1.2077918178643994,0.025630578607563667,0.34345915703334806,1.0
139,1205,1210,2020-10-30 00:00:00+00:00,2020-11-06 00:00:00+00:00,6,0.11162156559664327,0.02402466726436831,1.1737978923651624,0.02633457552917409,3.398213158409154,1.0
140,1211,1212,2020-11-09 00:00:00+00:00,2020-11-10 00:00:00+00:00,2,-0.13131666060074387,-0.06556699793673429,1.9781534307558744,0.03326727828360038,38.38584350696738,-1.0
141,1213,1249,2020-11-11 00:00:00+00:00,2021-01-05 00:00:00+00:00,37,0.04880579316779121,0.00431435606582016,0.5199848365660844,0.02367444055960732,2.4017796216458094,1.0
142,1250,1250,2021-01-06 00:00:00+00:00,2021-01-06 00:00:00+00:00,1,-0.06076219999467103,-0.060687586286847464,3.212021845865506,0.018917109157481366,0.7344731183154782,-1.0
143,1251,1275,2021-01-07 00:00:00+00:00,2021-02-11 00:00:00+00:00,25,0.18978166353428927,0.018469132833079466,0.8437844622372694,0.024359272740976014,2.2539910996781662,1.0
144,1276,1276,2021-02-12 00:00:00+00:00,2021-02-12 00:00:00+00:00,1,-0.01916502618626703,-0.01916268027651057,0.7743692538927592,0.024749198584824772,0.37152372888894697,-1.0
145,1277,1277,2021-02-16 00:00:00+00:00,2021-02-16 00:00:00+00:00,1,0.024364437615210566,0.02435961821189229,1.0225282142386454,0.023827633360776944,0.5597227691363345,1.0
146,1278,1283,2021-02-17 00:00:00+00:00,2021-02-24 00:00:00+00:00,6,-0.055748226096993925,-0.015955347096703636,0.7801007096724227,0.02513139274873762,0.5709977372116745,-1.0
147,1284,1284,2021-02-25 00:00:00+00:00,2021-02-25 00:00:00+00:00,1,-0.08575216118249696,-0.0855428927859908,2.7312086254680046,0.031397137908392735,0.7747565853220174,-1.0
148,1285,1291,2021-02-26 00:00:00+00:00,2021-03-08 00:00:00+00:00,7,-0.13790440609804744,-0.03665321607155288,0.9571150540559792,0.033865087310397855,1.2696359404683313,-1.0
149,1292,1316,2021-03-09 00:00:00+00:00,2021-04-13 00:00:00+00:00,25,0.3022760798642077,0.023660636441535553,0.6780999221550198,0.03409407152306633,1.3158494367254443,1.0
150,1317,1317,2021-04-14 00:00:00+00:00,2021-04-14 00:00:00+00:00,1,-0.02600552410317558,-0.025999664079073854,1.0380883018377398,0.025051350329499615,0.4605003394034161,-1.0
151,1318,1323,2021-04-15 00:00:00+00:00,2021-04-22 00:00:00+00:00,6,-0.02833186546571742,0.0025709470910653958,1.0222490479169832,0.02625794467408077,0.7203433420178739,-1.0
152,1324,1382,2021-04-23 00:00:00+00:00,2021-07-16 00:00:00+00:00,59,0.2014889625723364,0.007548634672923823,0.7746550370572092,0.02210166175975245,1.689464685107363,1.0
153,1383,1402,2021-07-19 00:00:00+00:00,2021-08-13 00:00:00+00:00,20,0.10581192690919083,0.013122499907662686,0.6025025515633449,0.02264954447234748,0.9939265363825107,1.0
154,1403,1405,2021-08-16 00:00:00+00:00,2021-08-18 00:00:00+00:00,3,-0.05854653017739819,-0.021104163482386338,1.2770925220594271,0.015279729514275003,3.0112305414056606,-1.0
155,1406,1430,2021-08-19 00:00:00+00:00,2021-09-23 00:00:00+00:00,25,0.16634949292080847,0.018214102499572667,0.8473361867350145,0.021273961973878472,2.017015228822505,1.0
156,1431,1437,2021-09-24 00:00:00+00:00,2021-10-04 00:00:00+00:00,7,-0.13047333898258762,-0.03431405019082304,1.14285408216257,0.018752166731850813,2.7745484723944647,-1.0
157,1438,1452,2021-10-05 00:00:00+00:00,2021-10-25 00:00:00+00:00,15,0.16044391047813011,0.0206448092203806,0.6103922006275173,0.0235158428176888,0.8558393752804451,1.0
158,1453,1464,2021-10-26 00:00:00+00:00,2021-11-10 00:00:00+00:00,12,0.24031369731894703,0.051313856472009464,1.1602903015139228,0.024583924363486682,1.1308855021663589,1.0
